报道时间,国家,地区,城市,新增确诊,新增出院,新增死亡,消息来源
2月14日,中国,重庆,奉节县,0,1,0,中新网
2月14日,中国,重庆,忠县,0,2,0,中新网
2月14日,中国,重庆,潼南区,0,1,0,中新网
2月14日,中国,重庆,万州区,0,4,0,中新网
2月14日,中国,湖南,郴州市,0,7,0,郴州市公安局
2月14日,中国,湖南,常德市,0,1,0,常德日报社
2月14日,中国,湖南,长沙市,0,3,0,长沙晚报
2月14日,中国,广东,茂名市,0,1,0,茂名发布
2月14日,中国,广东,梅州市,0,2,0,梅州新闻联播
2月14日,中国,河南,平顶山市,0,1,0,平顶山市人民政府
2月14日,中国,河南,濮阳市,0,1,0,濮阳早报
2月14日,中国,河南,安阳市,0,3,0,安阳新闻网
2月14日,中国,河南,周口市,0,7,0,周口日报
2月14日,中国,浙江,台州市,0,3,0,台州发布
2月14日,中国,河南,驻马店市,0,8,0,平安正阳
2月14日,中国,河南,南阳市,0,8,0,南阳政法
2月14日,中国,云南,曲靖市,0,4,0,央视
2月14日,中国,广东,揭阳市,0,1,0,羊城派
2月14日,中国,广东,汕头市,0,1,0,汕头新闻
2月14日,中国,上海,外地来沪,0,8,0,上海发布
2月14日,中国,上海,金山区,0,1,0,上海发布
2月14日,中国,上海,青浦区,0,1,0,上海发布
2月14日,中国,上海,普陀区,0,1,0,上海发布
2月14日,中国,上海,静安区,0,2,0,上海发布
2月14日,中国,上海,徐汇区,0,2,0,上海发布
2月14日,中国,上海,闵行区,0,1,0,上海发布
2月14日,中国,上海,宝山区,0,1,0,上海发布
2月14日,中国,上海,浦东新区,0,11,0,上海发布
2月14日,中国,河南,开封市,0,4,0,开封发布
2月15日,中国,河南,信阳市,0,4,0,信阳卫健委
2月14日,中国,河南,新乡市,0,3,0,新乡日报
2月14日,中国,河南,焦作市,0,4,0,焦作日报
2月14日,中国,河北,石家庄市,0,2,0,央视
2月14日,中国,广东,中山市,0,4,0,中山日报
2月14日,中国,广东,佛山市,0,1,0,佛山发布
2月14日,中国,广东,广州市,0,15,0,广州共青团
2月14日,中国,福建,漳州市,0,1,0,漳州新闻网
2月14日,中国,天津,地市明细不详,0,0,0,央视
2月14日,中国,天津,武清区,1,0,0,央视
2月14日,中国,北京,地市明细不详,0,-1,0,央视
2月14日,中国,北京,大兴区,1,0,0,央视
2月14日,中国,北京,石景山区,1,0,0,央视
2月14日,中国,北京,海淀区,2,0,0,央视
2月14日,中国,北京,朝阳区,2,0,0,央视
2月14日,中国,江苏,无锡市,0,6,0,央视
2月14日,中国,河南,许昌市,0,3,0,央视
2月14日,中国,湖北,武汉市,0,-276,-108,国家卫健委
2月14日,中国,云南,地市明细不详,0,4,0,央视
2月14日,中国,云南,红河州,1,0,0,央视
2月14日,中国,云南,昭通市,5,0,0,央视
2月14日,中国,陕西,安康市,1,0,0,央视
2月14日,中国,内蒙古,赤峰市,2,0,0,央视
2月14日,中国,内蒙古,锡林郭勒盟,2,0,0,央视
2月14日,中国,青海,海北州,0,2,0,央视、西海都市报
2月14日,中国,广东,惠州市,1,0,0,央视
2月14日,中国,广东,梅州市,1,0,0,央视
2月14日,中国,广东,湛江市,1,0,0,央视
2月14日,中国,广东,肇庆市,1,0,0,央视
2月14日,中国,广东,佛山市,1,0,0,央视
2月14日,中国,广东,广州市,1,0,0,央视
2月14日,中国,广东,珠海市,2,0,0,央视
2月14日,中国,广东,东莞市,3,0,0,央视
2月14日,中国,广东,深圳市,9,0,0,央视
2月14日,中国,海南,海口市,1,0,0,海南卫健委
2月14日,中国,宁夏,吴忠市,3,0,0,央视
2月14日,中国,江西,吉安市,0,1,0,江西卫健委
2月14日,中国,江西,赣江新区,1,0,0,央视
2月14日,中国,江西,赣州市,0,2,0,央视
2月14日,中国,江西,抚州市,2,0,0,央视
2月14日,中国,江西,萍乡市,2,0,0,央视
2月14日,中国,江西,上饶市,3,1,0,央视
2月14日,中国,江西,新余市,3,3,0,央视
2月14日,中国,江西,九江市,5,2,0,央视
2月14日,中国,江西,宜春市,6,2,0,央视
2月14日,中国,江西,南昌市,6,6,0,央视
2月14日,中国,安徽,蚌埠市,0,0,1,央视
2月14日,中国,安徽,安庆市,1,0,0,央视
2月14日,中国,安徽,池州市,1,0,0,央视
2月14日,中国,安徽,宿州市,1,0,0,央视
2月14日,中国,安徽,六安市,1,0,0,央视
2月14日,中国,安徽,马鞍山市,2,0,0,央视
2月14日,中国,安徽,蚌埠市,3,0,0,央视
2月14日,中国,安徽,阜阳市,4,0,0,央视
2月14日,中国,安徽,合肥市,5,0,0,央视
2月14日,中国,安徽,亳州市,6,0,0,央视
2月14日,中国,浙江,金华市,0,1,0,央视
2月14日,中国,浙江,绍兴市,0,1,0,央视
2月14日,中国,浙江,嘉兴市,0,0,0,央视
2月14日,中国,浙江,温州市,0,0,0,央视
2月14日,中国,浙江,宁波市,0,0,0,央视
2月14日,中国,浙江,杭州市,0,5,0,央视
2月14日,中国,浙江,绍兴市,1,0,0,央视
2月14日,中国,浙江,温州市,6,0,0,央视
2月14日,中国,浙江,杭州市,3,0,0,央视
2月14日,中国,新疆,新疆生产建设兵团,0,1,0,央视
2月14日,中国,新疆,阿克苏地区,0,1,0,央视
2月14日,中国,新疆,伊犁州,0,1,0,央视
2月14日,中国,新疆,乌鲁木齐市,2,0,0,央视
2月14日,中国,贵州,铜仁市,0,1,0,央视
2月14日,中国,贵州,毕节市,1,0,0,央视
2月14日,中国,贵州,遵义市,3,0,0,央视
2月14日,中国,贵州,贵阳市,1,0,0,央视
2月14日,中国,湖南,娄底市,1,3,0,央视
2月14日,中国,湖南,郴州市,1,0,0,央视
2月14日,中国,湖南,常德市,1,0,0,央视
2月14日,中国,湖南,岳阳市,1,0,0,央视
2月14日,中国,湖南,邵阳市,1,0,0,央视
2月14日,中国,湖南,湘潭市,2,0,0,央视
2月14日,中国,湖南,株洲市,2,0,0,央视
2月14日,中国,湖南,衡阳市,1,0,0,央视
2月14日,中国,湖南,长沙市,10,6,0,央视
2月14日,中国,河南,商丘市,1,0,0,央视
2月14日,中国,河南,新乡市,1,0,0,央视
2月14日,中国,河南,平顶山市,1,0,0,央视
2月14日,中国,河南,周口市,1,0,0,央视
2月14日,中国,河南,郑州市,1,8,0,央视
2月14日,中国,河南,南阳市,1,0,0,央视
2月14日,中国,河南,许昌市,3,0,0,央视
2月14日,中国,河南,驻马店市,3,0,0,央视
2月14日,中国,河南,信阳市,3,0,0,央视
2月14日,中国,江苏,苏州市,0,1,0,央视
2月14日,中国,江苏,盐城市,1,0,0,央视
2月14日,中国,江苏,淮安市,5,0,0,央视
2月14日,中国,江苏,连云港市,3,1,0,央视
2月14日,中国,江苏,南通市,1,0,0,央视
2月14日,中国,江苏,常州市,5,0,0,央视
2月14日,中国,江苏,徐州市,5,1,0,央视
2月14日,中国,江苏,无锡市,2,0,0,央视
2月14日,中国,江苏,南京市,1,2,0,央视
2月14日,中国,四川,资阳市,0,1,0,央视
2月14日,中国,四川,眉山市,0,1,0,央视
2月14日,中国,四川,南充市,0,1,0,央视
2月14日,中国,四川,绵阳市,0,1,0,央视
2月14日,中国,四川,攀枝花市,0,0,0,央视
2月14日,中国,四川,凉山州,0,0,0,央视
2月14日,中国,四川,广安市,0,2,0,央视
2月14日,中国,四川,乐山市,0,2,0,央视
