relation,node1,node2
"摘要","character/resource/R276","character/resource/R310"
"类型","character/resource/R276","character/resource/R311"
"顺承","character/resource/R28","character/resource/R29"
"所属期刊","character/resource/R28","character/resource/R56"
"摘要","character/resource/R283","character/resource/R297"
"类型","character/resource/R283","character/resource/R298"
"所属期刊","character/resource/R29","character/resource/R56"
"摘要","character/resource/R290","character/resource/R162"
"类型","character/resource/R290","character/resource/R165"
"出版","character/resource/R318","character/resource/R226"
"出版","character/resource/R318","character/resource/R221"
"出版","character/resource/R318","character/resource/R219"
"出版","character/resource/R319","character/resource/R225"
"参与事件","character/resource/R327","character/resource/R331"
"发表","character/resource/R327","character/resource/R333"
"事迹","character/resource/R327","character/resource/R335"
"事迹","character/resource/R327","character/resource/R334"
"出生地","character/resource/R327","character/resource/R337"
"履历","character/resource/R327","character/resource/R338"
"履历","character/resource/R327","character/resource/R340"
"重要成果","character/resource/R327","character/resource/R351"
"重要成果","character/resource/R327","character/resource/R346"
"重要成果","character/resource/R327","character/resource/R390"
"重要成果","character/resource/R327","character/resource/R350"
"重要成果","character/resource/R327","character/resource/R345"
"重要成果","character/resource/R327","character/resource/R389"
"重要成果","character/resource/R327","character/resource/R349"
"重要成果","character/resource/R327","character/resource/R386"
"重要成果","character/resource/R327","character/resource/R347"
"重要成果","character/resource/R327","character/resource/R344"
"重要成果","character/resource/R327","character/resource/R385"
"重要成果","character/resource/R327","character/resource/R348"
"重要成果","character/resource/R327","character/resource/R343"
"获奖事件","character/resource/R327","character/resource/R364"
"获奖事件","character/resource/R327","character/resource/R361"
"获奖事件","character/resource/R327","character/resource/R358"
"获奖事件","character/resource/R327","character/resource/R362"
"获奖事件","character/resource/R327","character/resource/R359"
"获奖事件","character/resource/R327","character/resource/R355"
"获奖事件","character/resource/R327","character/resource/R356"
"获奖事件","character/resource/R327","character/resource/R360"
"获奖事件","character/resource/R327","character/resource/R357"
"获奖事件","character/resource/R327","character/resource/R365"
"获奖事件","character/resource/R327","character/resource/R366"
"获奖事件","character/resource/R327","character/resource/R363"
"国籍","character/resource/R327","character/resource/R23"
"研究方向","character/resource/R327","character/resource/R328"
"毕业院校","character/resource/R327","character/resource/R329"
"参与战役","character/resource/R327","character/resource/R169"
"参与战役","character/resource/R327","character/resource/R330"
"所属期刊","character/resource/R33","character/resource/R61"
"研究进展","character/resource/R330","character/resource/R194"
"爆发地点","character/resource/R330","character/resource/R316"
"爆发地点","character/resource/R330","character/resource/R147"
"顺承","character/resource/R331","character/resource/R331"
"所属期刊","character/resource/R331","character/resource/R332"
"所属期刊","character/resource/R334","character/resource/R336"
"摘要","character/resource/R338","character/resource/R71"
"类型","character/resource/R338","character/resource/R339"
"摘要","character/resource/R340","character/resource/R341"
"类型","character/resource/R340","character/resource/R342"
"摘要","character/resource/R35","character/resource/R69"
"摘要","character/resource/R35","character/resource/R68"
"类型","character/resource/R35","character/resource/R67"
"相关奖项","character/resource/R355","character/resource/R378"
"相关奖项","character/resource/R356","character/resource/R368"
"相关奖项","character/resource/R357","character/resource/R374"
